intersectional_key,dx,age_group,sex,loc_zone,count
MiddleAged|male|LowerExtremity,mel,MiddleAged,male,LowerExtremity,18
MiddleAged|female|LowerExtremity,bkl,MiddleAged,female,LowerExtremity,18
Pediatric|male|LowerExtremity,nv,Pediatric,male,LowerExtremity,18
YoungAdult|male|Trunk,mel,YoungAdult,male,Trunk,18
MiddleAged|male|Unknown,nv,MiddleAged,male,Unknown,19
Elderly|female|UpperExtremity,bkl,Elderly,female,UpperExtremity,19
MiddleAged|male|Head,mel,MiddleAged,male,Head,19
Elderly|male|Trunk,akiec,Elderly,male,Trunk,20
YoungAdult|male|Head,nv,YoungAdult,male,Head,22
Elderly|male|LowerExtremity,bcc,Elderly,male,LowerExtremity,22
MiddleAged|female|Trunk,bkl,MiddleAged,female,Trunk,23
Pediatric|female|Trunk,nv,Pediatric,female,Trunk,24
Elderly|male|Head,nv,Elderly,male,Head,24
MiddleAged|female|Trunk,bcc,MiddleAged,female,Trunk,25
MiddleAged|male|UpperExtremity,mel,MiddleAged,male,UpperExtremity,25
Elderly|female|UpperExtremity,mel,Elderly,female,UpperExtremity,25
Pediatric|male|Trunk,nv,Pediatric,male,Trunk,25
Elderly|female|Head,akiec,Elderly,female,Head,26
Elderly|male|LowerExtremity,akiec,Elderly,male,LowerExtremity,27
Elderly|female|Head,mel,Elderly,female,Head,27
MiddleAged|male|Trunk,bcc,MiddleAged,male,Trunk,27
MiddleAged|female|UpperExtremity,mel,MiddleAged,female,UpperExtremity,29
Elderly|male|UpperExtremity,akiec,Elderly,male,UpperExtremity,29
